program_name,exec_time_ns,sum_result,N,num_procs
iterative,315,0.5000000000,1,1
formula,74,0.5000000000,1,1
omp,12314,0.5000000000,1,1
omp,123073,0.5000000000,1,2
omp,60240,0.5000000000,1,3
omp,563124,0.5000000000,1,4
mpi_sum,174183154,0.5000000000,1,1
mpi_sum,155344129,0.5000000000,1,2
mpi_sum,140479255,0.5000000000,1,3
mpi_sum,152522375,0.5000000000,1,4
iterative,759,0.8571429253,6,1
formula,55,0.8571428657,6,1
omp,9426,0.8571429253,6,1
omp,271368,0.8571428657,6,2
omp,568125,0.8571429253,6,3
omp,1296044,0.8571429253,6,4
mpi_sum,140515624,0.8571428657,6,1
mpi_sum,143102696,0.8571428657,6,2
mpi_sum,151575920,0.8571428657,6,3
mpi_sum,154676692,0.8571428657,6,4
